id,pt_desc1,pt_desc2,pt_um,pt_prod_line,pt_vend
129215034-F,PTTJ207-V-F,,P,W001,NULL
129215034-WC,PTTJ207-V-WC,,P,W001,NULL
129215035,PTTJ209A-V,SWT-B1,P,FT01,NULL
129215035-F,PTTJ209A-V-F,,P,W001,NULL
129215035-WC,PTTJ209A-V-WC,,P,W001,NULL
129215036,PTTJ208A-V,SWT-A2,P,FT01,NULL
129215036-F,PTTJ208A-V-F,,P,W001,NULL
129215036-WC,PTTJ208A-V-WC,,P,W001,NULL
129215037,PTTJ210A-V,SWT-B2,P,FT01,NULL
129215037-F,PTTJ210-V-F,,P,W001,NULL
129215037-WC,PTTJ210-V-WC,,P,W001,NULL
129215040,PTTJ222-V,SWT-C1,P,FT01,NULL
129215040-F,PTTJ222-V-F,,P,W001,NULL
129215040-WC,PTTJ222-V-WC,,P,W001,NULL
129215041,PTTJ223-V,SWT-C3,P,FT01,NULL
129215041-F,PTTJ223-V-F,,P,W001,NULL
129215041-WC,PTTJ223-V-WC,,P,W001,NULL
129215042,PTTJ230-V,SWT-C1,P,FT01,NULL
129215042-F,PTTJ230-V-F,,P,W001,NULL
129215042-WC,PTTJ230-V-WC,,P,W001,NULL
129215043,PTTJ233-V,SWT-A2,P,FT01,NULL
129215043-F,PTTJ233-V-F,,P,W001,NULL
129215043-WC,PTTJ233-V-WC,,P,W001,NULL
129215044,PTTJ234-V,SWT-A1,P,FT01,NULL
129215044-F,PTTJ234-V-F,,P,W001,NULL
129215044-WC,PTTJ234-V-WC,,P,W001,NULL
129215045,PTTJ231-V,SWT-A2,P,FT01,NULL
129215045-F,PTTJ231-V-F,,P,W001,NULL
129215045-WC,PTTJ231-V-WC,,P,W001,NULL
129215046,PTTJ237-V,SWT-C1,P,FT01,NULL
129215046-F,PTTJ237-V-F,,P,W001,NULL
129215046-WC,PTTJ237-V-WC,,P,W001,NULL
129215047,PTTJ238-V,SWT-C1,P,FT01,NULL
129215047-F,PTTJ238-V-F,,P,W001,NULL
129215047-WC,PTTJ238-V-WC,,P,W001,NULL
129215048,PTTJ239-V,SWT-A2,P,FT01,NULL
129215048-F,PTTJ239-V-F,,P,W001,NULL
129215048-WC,PTTJ239-V-WC,,P,W001,NULL
129215049,PTTJ245-V,SWT-C2,P,FT01,NULL
129215049-F,PTTJ245-V-F,,P,W001,NULL
129215049-WC,PTTJ245-V-WC,,P,W001,NULL
129225001,PTTX215-V,SWT-B2,P,FT01,NULL
129225001-F,PTTX215-V-F,,P,W001,NULL
129225001-WC,PTTX215-V-WC,,P,W001,NULL
129235002,PTTJ257-V,SWT-B2,P,FT01,NULL
129235002-F,PTTJ257-V-F,,P,W001,NULL
129235002-WC,PTTJ257-V-WC,,P,W001,NULL
129235003,PTTJ258-V,SWT-C2,P,FT01,NULL
129235003-F,PTTJ258-V-F,,P,W001,NULL
129235003-WC,PTTJ258-V-WC,,P,W001,NULL
129235004,PTTJ259-V,SWT-C1,P,FT01,NULL
129235004-F,PTTJ259-V-F,,P,W001,NULL
129235004-WC,PTTJ259-V-WC,,P,W001,NULL
129235005,PTTJ260-V,SWT-B1,P,FT01,NULL
129235005-F,PTTJ260-V-F,,P,W001,NULL
129235005-WC,PTTJ260-V-WC,,P,W001,NULL
129235006,PTTJ252A-V,SWT-B1,P,FT01,NULL
129235006-F,PTTJ252A-V-F,,P,W001,NULL
129235006-WC,PTTJ252A-V-WC,,P,W001,NULL
129235007,PTTJ255-V,SWT-A1,P,FT01,NULL
129235007-F,PTTJ255-V-F,,P,W001,NULL
129235007-WC,PTTJ255-V-WC,,P,W001,NULL
129235008,PTTJ254-V,SWT-A1,P,FT01,NULL
129235008-F,PTTJ254-V-F,,P,W001,NULL
129235008-WC,PTTJ254-V-WC,,P,W001,NULL
129255055,ZU28B94-V,SWT-B1,P,FT01,NULL
129255055-F,ZU28B94-V-F,,P,W001,NULL
129255055-WC,ZU28B94-V-WC,,P,W001,NULL
129255056,PTTP177-V,SWT-C2,P,FT01,NULL
129255056-F,PTTP177-V-F,,P,W001,NULL
129255056-WC,PTTP177-V-WC,,P,W001,NULL
129255057,PTTN178-V,SWT-C2,P,FT01,NULL
129255057-F,PTTN178-V-F,,P,W001,NULL
129255057-WC,PTTN178-V-WC,,P,W001,NULL
129255058,PTTP178-V,SWT-C4,P,FT01,NULL
129255058-F,PTTP178-V-F,,P,W001,NULL
129255058-WC,PTTP178-V-WC,,P,W001,NULL
129255059,PTTN180-V,SWT-B4,P,FT01,NULL
129255059-F,PTTN180-V-F,,P,W001,NULL
129255059-WC,PTTN180-V-WC,,P,W001,NULL
129255062,CHT198-V,SWT-B1,P,FT01,NULL
129255062-F,CHT198-V-F,,P,W001,NULL
129255062-WC,CHT198-V-WC,,P,W001,NULL
129255066,IEAP-001-V,SWT-B3,P,FT01,NULL
129255066-F,IEAP-001-V-F,,P,W001,NULL
129255066-WC,IEAP-001-V-WC,,P,W001,NULL
129255068,CHT219-V,SWT-B1,P,FT01,NULL
129255068-F,CHT219-V-F,,P,W001,NULL
129255068-WC,CHT219-V-WC,,P,W001,NULL
129265006,G4D3A0000210-V,SWT-B1,P,FT01,NULL
129265006-F,G4D3A0000210-V-F,,P,W001,NULL
129265006-WC,G4D3A0000210-V-WC,,P,W001,NULL
129265007,KX-3820-V,SWT-B1,P,FT01,NULL
129265007-F,KX-3820-V-F,,P,W001,NULL
129265007-WC,KX-3820-V-WC,,P,W001,NULL
129265009,ZE28B103-V,SWT-B1,P,FT01,NULL
129265009-F,ZE28B103-V-F,,P,W001,NULL
129265009-WC,ZE28B103-V-WC,,P,W001,NULL
129265011,G4D3A0000207-V,SWT-B1,P,FT01,NULL
129265011-F,G4D3A0000207-V-F,,P,W001,NULL
129265011-WC,G4D3A0000207-V-WC,,P,W001,NULL
129265012,RTRNWA002TDPZ-V,SWT-A2,P,FT01,NULL
